feature,importance,abs_importance
vendor_cleaned,0.28495231943647875,0.28495231943647875
route_number_group,0.2145769704487552,0.2145769704487552
report_delay_minutes,0.1164460860650342,0.1164460860650342
weekday,0.07802948044370475,0.07802948044370475
number_of_students,0.0585747191726415,0.0585747191726415
route_prefix_group,0.045882788456083616,0.045882788456083616
num_schools,0.044234026980497,0.044234026980497
reason,0.0441355509790882,0.0441355509790882
time_block,0.03179606884699627,0.03179606884699627
run_type,0.020198189690070822,0.020198189690070822
have_you_alerted_opt,0.01600894362824956,0.01600894362824956
service_area,0.015930973776533283,0.015930973776533283
has_contractor_notified_schools,0.014709312370226062,0.014709312370226062
has_contractor_notified_parents,0.014524569705640629,0.014524569705640629
