hour,count,mean,median
0,960,28.320833333333333,31.0
1,1036,29.806949806949806,31.0
2,1622,22.86066584463625,16.0
3,620,21.648387096774194,16.0
4,506,43.930830039525695,45.0
5,24989,38.85125455200288,46.0
6,233264,29.373353796556692,30.0
7,272769,25.89917109348936,20.0
8,64063,27.034325585751525,20.0
9,5699,25.94262151254606,20.0
10,953,29.968520461699896,30.0
11,1977,24.81790591805766,20.0
12,4432,31.393050541516246,31.0
13,50857,37.12275596279765,31.0
14,63080,28.570862396956247,31.0
15,19363,28.590352734596912,30.0
16,4830,29.078260869565216,30.0
17,991,31.348133198789103,30.0
18,115,40.88695652173913,31.0
19,15,39.86666666666667,45.0
20,4,31.75,25.5
23,3,35.0,45.0
