year,count,mean,median
2000,19,35.78947368421053,30.0
2001,128,39.6640625,40.0
2002,698,36.86819484240688,30.0
2003,1365,33.36190476190476,30.0
2004,2165,29.9824480369515,25.0
2005,2245,32.24944320712695,30.0
2006,2545,34.049115913555994,30.0
2007,6846,32.003213555360794,30.0
2008,10544,29.48387708649469,30.0
2009,16337,25.374915835220666,20.0
2010,16273,26.936090456584527,25.0
2011,26190,25.317220313096602,20.0
2012,18672,21.563892459297342,20.0
2013,17072,23.230494376757264,20.0
2014,19585,27.296400306356905,20.0
2015,25208,25.489170104728657,20.0
2016,28062,27.283550709144038,25.0
2017,47498,24.83561413112131,25.0
2018,81761,27.52635119433471,31.0
2019,93255,28.632169856844136,31.0
2020,21257,25.143623277038152,31.0
2021,40049,29.27226647356988,31.0
2022,74449,30.189283939341024,31.0
2023,78451,31.260391836942805,31.0
2024,65882,32.47630612306852,31.0
2025,55592,32.372319758238596,31.0
