vendor_cleaned,incident_count,avg_delay,median_delay
selby transportation,8275,57.06864048338369,61.0
selby transportation corp,48,56.9375,61.0
pride transportation sch age,53768,53.88455958934682,61.0
gotham transportation corp,13,49.61538461538461,40.0
l m bus corp a,12872,49.19942510876321,61.0
happy child trans llc b2,1495,48.73779264214047,45.0
y m transit corp b2321,123,47.48780487804878,61.0
happy child transport llc,20,45.25,40.0
addies,29,44.48275862068966,40.0
jo lo bus company inc,59,44.3728813559322,40.0
