feature,importance,abs_importance
have_you_alerted_opt,4.177097312583828,4.177097312583828
has_contractor_notified_schools,-1.3724523180310966,1.3724523180310966
weekday,1.295528533407219,1.295528533407219
vendor_cleaned,0.9036848540089214,0.9036848540089214
reason,0.7711288483864321,0.7711288483864321
time_block,0.5133161969320947,0.5133161969320947
report_delay_minutes,0.46138124078595694,0.46138124078595694
route_number_group,0.3721017157835811,0.3721017157835811
run_type,-0.23920670699343194,0.23920670699343194
num_schools,-0.21084570466261016,0.21084570466261016
route_prefix_group,0.1450262913773209,0.1450262913773209
has_contractor_notified_parents,0.13996353688448937,0.13996353688448937
number_of_students,-0.05249869301253724,0.05249869301253724
service_area,0.04747479275721335,0.04747479275721335
