feature,importance,abs_importance
route_number_group,0.22158038014970938,0.22158038014970938
vendor_cleaned,0.2189458362514975,0.2189458362514975
report_delay_minutes,0.12428389226723782,0.12428389226723782
weekday,0.07223313884110608,0.07223313884110608
number_of_students,0.06302246803771079,0.06302246803771079
route_prefix_group,0.06026900417398726,0.06026900417398726
reason,0.04789408202546697,0.04789408202546697
num_schools,0.04600212062158695,0.04600212062158695
service_area,0.036276019579344926,0.036276019579344926
time_block,0.033363776058833255,0.033363776058833255
run_type,0.024458293380183557,0.024458293380183557
have_you_alerted_opt,0.021153505360957944,0.021153505360957944
has_contractor_notified_schools,0.01585954993959964,0.01585954993959964
has_contractor_notified_parents,0.014657933312777824,0.014657933312777824
