feature,importance,abs_importance
vendor_cleaned,0.5543091561656565,0.5543091561656565
route_number_group,0.08401557265870994,0.08401557265870994
report_delay_minutes,0.07099147077903445,0.07099147077903445
reason,0.05061214399738716,0.05061214399738716
number_of_students,0.05040956737168933,0.05040956737168933
service_area,0.044985904845328724,0.044985904845328724
route_prefix_group,0.02880601635533975,0.02880601635533975
time_block,0.02370573608408656,0.02370573608408656
weekday,0.019834582936086958,0.019834582936086958
have_you_alerted_opt,0.01969335637734904,0.01969335637734904
num_schools,0.01770770556017893,0.01770770556017893
run_type,0.012501309892718724,0.012501309892718724
has_contractor_notified_parents,0.011767733044071015,0.011767733044071015
has_contractor_notified_schools,0.01065974393236301,0.01065974393236301
