feature,importance,abs_importance
num_schools,-350465151.3807526,350465151.3807526
report_delay_minutes,292161919.5998945,292161919.5998945
have_you_alerted_opt,-58660818.37876233,58660818.37876233
number_of_students,48098552.65922708,48098552.65922708
weekday,46514839.96477663,46514839.96477663
has_contractor_notified_parents,-39331268.137373134,39331268.137373134
has_contractor_notified_schools,28228750.67974149,28228750.67974149
route_number_group,19441259.49840837,19441259.49840837
time_block,-18157423.816307943,18157423.816307943
reason,17942485.38262813,17942485.38262813
run_type,17891805.104915235,17891805.104915235
route_prefix_group,-16139019.273316503,16139019.273316503
vendor_cleaned,11015742.852654098,11015742.852654098
service_area,-7662193.86708787,7662193.86708787
