service_area,vendor_cleaned,avg_delay
Bronx,b f skilled inc scho,71.11111111111111
Bronx,considlidated bus company,60.0
Bronx,pinnacle bus service inc,60.0
Brooklyn,b f skilled inc school age,75.0
Brooklyn,mini bus,65.0
Brooklyn,little lisa bus co inc,61.0
Manhattan,r c transit,90.0
Manhattan,minibus,65.0
Manhattan,tom tom,62.0
Queens,jodi,90.0
Queens,city wide,60.0
Queens,cosolidated,60.0
Staten Island,twenty first ave,62.0
Staten Island,thomas buses inc b2321,60.0
Staten Island,unique transportation sys,60.0
