weekday,vendor_cleaned,avg_delay
Friday,b f skilled inc school age,120.0
Friday,ic bus inc pre k,120.0
Friday,jofaz transportation,62.0
Monday,jodi,75.0
Monday,minibus company,60.0
Monday,ocean avenue transportati,60.0
Saturday,staten island bus company,45.0
Saturday,caravan transit inc,32.0
Saturday,logan transportation syst,30.0
Sunday,hoyt transportation corp,40.0
Sunday,little richie bus service,30.0
Thursday,carol bus transportation,90.0
Thursday,r c transit,90.0
Thursday,r c transit inc,82.5
Tuesday,minibus,63.333333333333336
Tuesday,andrews busing inc,60.0
Tuesday,opt,60.0
Wednesday,able bus inc,162.0
Wednesday,little lisa bus co,102.5
Wednesday,happy child transport llc,72.5
