vendor_cleaned,avg_delay,avg_report_delay,avg_schools_serviced
r c transit,90.0,74.0,2.0
jodi,65.0,61.0,2.3333333333333335
tom tom,62.0,25.0,1.0
andrews busing inc,60.0,80.0,5.0
ocean avenue transportati,60.0,72.0,1.0
amby shore pkwy,60.0,45.0,2.0
caravan transportation in,60.0,22.333333333333332,2.6666666666666665
regional,60.0,5.0,2.0
minibus company,60.0,89.0,1.0
con,60.0,10.0,1.0
considlidated bus company,60.0,20.0,1.0
consolidated bus transit,60.0,16.0,1.0
third aveneu transit,60.0,42.0,3.0
cosolidated,60.0,8.0,1.0
boro trans,60.0,30.0,1.0
unique transportation sys,60.0,134.0,1.0
minibus,58.75,166.75,1.0
carol bus transportation,58.333333333333336,117.66666666666667,1.0
selby transportation,57.06864048338369,1.687250755287009,1.0
selby transportation corp,56.9375,3.0,1.0
conolidated,55.0,11.666666666666666,1.3333333333333333
b f skilled inc school age,55.0,74.0,1.0
pride transportation sch age,53.88455958934682,39.118267370926944,2.868211575658384
staten island,51.333333333333336,20.0,1.0
mini bus,51.25,93.5,2.0
r c transit inc,50.6,41.6,1.0
littie richie bus copany,49.666666666666664,38.333333333333336,1.3333333333333333
gotham transportation corp,49.61538461538461,151.69230769230768,1.0
l m bus corp a,49.19942510876321,34.96706028589186,2.5350372902423866
happy child trans llc b2,48.73779264214047,5.337123745819398,1.0
thomas buses inc b2192,48.6,5.2,1.0
y m transit corp b2321,47.48780487804878,47.75609756097561,2.4634146341463414
fortuna bus company,46.0,38.0,1.0
happy child transport llc,45.25,18.75,1.15
caravan transportation,45.0,33.0,1.0
lonero transit,45.0,1.0,3.0
atlantic exp,45.0,122.5,2.0
little richies,45.0,45.0,1.0
lorina bus copany,45.0,8.0,1.0
atlantic ex,45.0,68.0,1.0
addies,44.48275862068966,8.10344827586207,1.4827586206896552
jo lo bus company inc,44.3728813559322,93.37288135593221,1.305084745762712
able bus inc,43.175,148.5,1.325
little lisa bus co,42.916666666666664,32.5,1.6666666666666667
gotham,42.5,52.666666666666664,3.5833333333333335
careful bus service inc,42.5,7.0092592592592595,2.4722222222222223
prime bus corp,42.5,45.5,1.0
smart pick,42.5,0.5,1.0
twenty first ave,41.75,28.25,1.5
little linda bus co inc,41.588235294117645,20.83529411764706,1.7058823529411764
pinnacle bus service inc,41.25,49.0,1.0
jofaz transportation,41.23076923076923,82.0,2.230769230769231
minibus service corp,41.139583333333334,94.64583333333333,1.2833333333333334
pl1800,41.0,3.6666666666666665,1.0
lorinda enterprises ltd,40.97265787647467,13.650798056904927,2.6688410825815407
kids bus service inc,40.875,69.0,1.125
lorinda bus company,40.43478260869565,32.95652173913044,1.9130434782608696
caravan,40.4,51.16,1.0
little richie bus co,40.166666666666664,29.637254901960784,2.3529411764705883
jodi bus company inc,40.0,30.0,1.6666666666666667
logan trans system,40.0,2.0,4.0
atlanitc express,40.0,61.0,2.0
city wide,40.0,17.5,1.0
safe coach,40.0,19.5,2.5
y m transit corp b2192,39.62072767364939,33.76212789415656,2.701764057331863
logan bus,39.0,24.4,1.0
mjt bus company inc,38.94117647058823,106.82352941176471,1.0
logan bus co,38.45679012345679,37.80246913580247,1.9012345679012346
little lisa buscopany,38.333333333333336,20.666666666666668,1.0
ic bus inc pre k,38.214285714285715,61.214285714285715,1.0
reliant trans inc b2321,37.90495174150231,5.398866974402014,2.4846831724716743
little richie bus service,37.595597836224584,17.616675993284836,1.7798918112292483
marcan,37.5,61.5,1.0
gotham transportation co,37.17302325581395,77.0906976744186,1.8846511627906977
amboy ralph ave,37.0,110.2,1.6
logan bus company inc,36.71498726809749,18.031465987631865,1.8131138595853038
boro transit,36.5,17.9,2.0
parochial bus system inc,36.333333333333336,73.55555555555556,1.0
twenty first av transp new bid,36.25,45.5,1.0
third avenue transit inc,36.17283950617284,20.358024691358025,2.2098765432098766
able,36.142857142857146,59.035714285714285,1.1071428571428572
l m bus corp b2321,36.060810810810814,4.277027027027027,1.4189189189189189
phillipsbusservice,36.0,13.11111111111111,1.0
leesel transportation corp b2192,35.83184044698896,4.609385766007291,2.360247046590582
consolidated,35.708333333333336,79.75,1.375
granpas bus,35.666666666666664,40.333333333333336,2.0
united tom tom transporta,35.6025641025641,48.96153846153846,1.064102564102564
dak transportation corp,35.535714285714285,71.3125,1.0446428571428572
leesel transportation corp,35.529411764705884,0.47058823529411764,1.0
third avenue transit,35.4375,56.36328125,1.14453125
twenty first av transp n,35.375,32.34375,1.1875
children s trans inc,35.32773109243698,8.008403361344538,1.0
consolidated bus company,35.0,38.333333333333336,2.0
raimbow,35.0,47.0,1.0
usa united trans,35.0,23.0,1.0
bobbies bus,35.0,13.0,1.0
l m bus corp,34.88084507042254,46.60281690140845,1.0004694835680752
ic bus inc,34.851851851851855,37.7037037037037,1.1851851851851851
jofaz transportation inc,34.76660787771899,21.439741328630216,1.9923574368018813
twenty first av transp b,34.76586433260394,18.505470459518598,1.2603938730853392
mar can transport co inc,34.75,8.75,1.25
united bus express inc,34.23076923076923,16.846153846153847,1.8461538461538463
brothers transportation c,34.04761904761905,12.238095238095237,1.0
kids bus,34.0,56.5,1.5
varsity transit inc,33.89705882352941,26.21323529411765,1.6470588235294117
thomas buses inc,33.88505747126437,20.839080459770116,1.0
little richie bus company,33.57142857142857,19.0,1.4285714285714286
lonero,33.5,51.40909090909091,1.5
caravan transit inc,33.49107142857143,131.62053571428572,1.1830357142857142
tom tom transportation in,33.42857142857143,12.285714285714286,1.1428571428571428
amboy bus com,33.333333333333336,41.0,1.0
amboy bus comp,33.333333333333336,24.333333333333332,1.0
lorinda ent ltd,33.246179264766624,17.96117306897976,1.3812474184221397
all american school bus c,33.23809523809524,10.072532324187954,1.0072532324187953
pioneer,33.23076923076923,23.615384615384617,1.1538461538461537
i y transit corp,33.208389715832205,46.20365358592693,1.0006765899864682
brighton bus service,33.0,36.42857142857143,1.7857142857142858
little lisa bus co inc,32.979831144465294,14.528142589118199,1.9136960600375235
first steps transp inc b2192,32.827858081471746,12.31143232588699,1.9921156373193167
professional charter service inc,32.5,23.0,1.0
united transit,32.5,38.0,1.0
boro,32.5,14.0,1.75
lorrisa bus co,32.5,2.5,3.0
new dawn transit llc b2,32.26647498562392,12.022886716503738,1.0003450258769409
empire state,32.142857142857146,41.57142857142857,2.5714285714285716
twenty first avenue trans,31.81954887218045,38.75187969924812,1.1578947368421053
first steps trans inc b2192,31.72191616766467,9.769341317365269,2.100119760479042
logan bus company,31.236842105263158,36.13157894736842,1.5789473684210527
lonero transit inc,31.194908512330947,17.76332537788385,1.0202863961813842
pride transportation,31.11111111111111,41.888888888888886,1.0
logan,31.0,19.95,1.45
phillipbusservice,31.0,23.0,1.0
nyc school bus umbrella services,30.894209723419777,5.04715792266366,2.597267360880812
ocean avenue,30.803571428571427,37.357142857142854,1.1428571428571428
reliant transportation inc b2321,30.776191877575044,6.4846968805179515,2.6306160486560723
l m bus corp b2192,30.76889534883721,8.796511627906977,2.4353197674418605
phillip bus corp b2192,30.717450833955688,3.3119243216330596,1.4829474732387353
united fleet,30.64367816091954,16.586206896551722,1.9425287356321839
amboy bus company,30.551724137931036,29.0,1.4482758620689655
united transit inc,30.110091743119266,13.642201834862385,1.5596330275229358
nycsbus,30.04255319148936,2.1914893617021276,3.0425531914893615
addis,30.0,158.0,1.0
island charter,30.0,46.0,1.0
jodi bus company,30.0,15.0,2.0
amboy bus inc,30.0,15.0,1.0
r t transit,30.0,0.0,1.0
united trans,30.0,7.0,1.0
vasrity,30.0,4.0,1.0
x214,30.0,738.0,1.0
happy child transport llc sch age,30.0,14.0,1.0
rainboow,30.0,7.0,1.0
allied transit,30.0,16.8,2.2666666666666666
professional charter serv,30.0,11.5,1.0
allied bus company,30.0,8.0,4.0
pioneer trans,30.0,18.0,3.0
lorissa bus com,30.0,2.0,2.0
little linda,30.0,44.0,1.0
amboy bus co,30.0,32.0,1.0
little lisa bus company,30.0,39.0,2.0
opt,30.0,7.0,1.0
little richi,30.0,30.0,2.0
allied transit bus corp,30.0,8.0,3.0
ocean avenue trans,30.0,56.0,1.0
amboy exterior,30.0,14.0,1.0
altantic,30.0,76.0,1.0
logan trans systems,30.0,2.0,4.0
amboy exeter,30.0,28.0,2.0
atlanic express,30.0,26.0,1.0
amboy oak point,30.0,5.5,1.0
empire state bus copr,30.0,290.0,1.0
boyton inc,30.0,33.0,1.0
bobbys,30.0,15.0,3.0
amoby,30.0,10.5,1.5
grandpa bus,30.0,15.0,2.0
citywide transit,30.0,18.0,3.0
grandpas bus co,30.0,6.0,1.0
bobby bus,30.0,4.0,2.0
consolidated trans,30.0,70.0,2.0
amboy jam,30.0,10.0,1.0
amboy jamiaca,30.0,109.0,1.0
atalntic,30.0,114.0,2.0
first steps transp inc,29.991603358656537,8.869652139144343,1.0
consolidated bus trans i,29.97048960429242,12.527833668678738,1.0083836351441986
amboy,29.853658536585368,61.4349593495935,1.491869918699187
thomas buses inc b2321,29.716332378223495,8.289398280802292,1.4078319006685769
able bus,29.694444444444443,80.25,2.361111111111111
reliant trans inc,29.681818181818183,6.878787878787879,1.817099567099567
varsity,29.357142857142858,39.5,1.3571428571428572
amboy jamaica,29.2,36.04,1.8
